name,sex
ზარიემ,F
არკადი,M
კამილა,F
ელიზა,F
თარაშ,M
შუშანიკი,F
ზაქარია,M
კლავდია,F
დოდუშკი,F
აიდან,F
რაფაელი,M
ნინელი,F
ლიანნა,F
ილარიონ,M
არზუ,F
რიმა,F
მადინა,F
ეთუნა,F
სიმუზარ,F
ჯაბრაილ,M
როვშან,M
ბენედიქტ,M
ლილით,F
მურმან,M
ზამირა,F
ლარისა,F
ხანიფა,F
სესილია,F
ფამილ,M
დემი,F
ფაილა,F
ანო,F
მარიანნა,F
პეპო,M
ნარე,F
ნანიკო,F
აისელ,F
ფაის,M
ელენ,F
მედიკო,F
იოვანე,M
ჰამია,F
ემი,F
გულნაზ,F
მთვარისა,F
ოლია,F
თია,F
ელისაბედი,F
სილვია,F
ირადა,F
შიო,M
დებორა,F
ფატი,F
თაკო,F
სარა,F
აინურა,F
ბახტიარ,M
სვეტა,F
ტასო,F
არევიკ,F
ბუბა,M
ვისი,F
ალდონა,F
პარი,F
ნიგიარ,F
დაკო,F
მევლუდი,M
ოლეგი,M
ნოვრუზ,M
მზეონა,F
ილხამა,F
მიხა,M
არმაზ,M
მილინე,F
ვარდიკო,F
ანდრიანა,F
სოფი,F
ბახვა,M
ფარდი,M
ანაიდა,F
ჯესიკა,F
ქარამ,M
არაზ,M
ისა,M
ალახვერდი,M
როზიტა,F
როენა,F
ეროსი,M
ქალდა,F
დაიანა,F
მზიური,F
გეორგი,M
ჩეტინ,M
აიტან,F
გამზა,M
თუთანა,F
ჯარჯი,M
თორელი,M
ანერი,F
ემმა,F
ელვირა,F
ზოხრა,F
ლამიია,F
ხალილ,F
ტაპდიგ,M
ზარუინ,M
მალეიკა,F
ოფელია,F
ნაილი,F
ევგენია,F
ზარინა,F
შუქია,F
ვართან,M
ასიმ,M
ციაკო,F
აკიფა,F
გუგულა,M
ელმინ,M
ჩიჩაკ,F
ანდრანიკი,M
რუფინა,F
ელფინა,F
სონა,F
ზურიკო,M
აზად,M
ზუკა,M
ელენი,F
ვენგო,M
გულნაზი,F
სავლე,M
მინურა,F
ალიდა,F
ელტუნ,M
ტიგრან,M
მანანო,F
ესთერ,F
ხალისა,F
თელიმ,F
ნიკი,F
იიმან,F
ვაკო,M
გუჯა,M
ქამილ,M
შერონი,F
ტურაჯ,F
ეტიმად,M
გენრი,M
ბაირამ,M
გიულტაკინ,F
აქსანა,F
ამირიდონი,M
